"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 21 07:40:02 GMT 2022","Thu Jul 21 07:40:02 GMT 2022","0","","Deploy Webhook Suite","","Deploy Webhook Suite","","[It] Deploy Webhook MutationRequired Already Injected Should skip injection",""
"passed","Thu Jul 21 07:43:52 GMT 2022","Thu Jul 21 07:44:52 GMT 2022","60133","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"failed","Thu Jul 21 07:40:02 GMT 2022","Thu Jul 21 07:40:02 GMT 2022","73","","Hub Controller Suite","","Hub Controller Suite","","[BeforeSuite]",""
"broken","Thu Jul 21 07:40:02 GMT 2022","Thu Jul 21 07:40:02 GMT 2022","0","","Hub Controller Suite","","Hub Controller Suite","","[AfterSuite]",""
"passed","Thu Jul 21 07:45:24 GMT 2022","Thu Jul 21 07:51:24 GMT 2022","360576","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"failed","Thu Jul 21 07:40:02 GMT 2022","Thu Jul 21 07:40:02 GMT 2022","97","","Worker Controller Suite","","Worker Controller Suite","","[BeforeSuite]",""
"failed","Thu Jul 21 07:45:24 GMT 2022","Thu Jul 21 07:45:54 GMT 2022","30370","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"passed","Thu Jul 21 07:40:02 GMT 2022","Thu Jul 21 07:40:02 GMT 2022","0","","Deploy Webhook Suite","","Deploy Webhook Suite","","[It] Deploy Webhook MutationRequired New deployment with proper annotation should enable injection",""
"failed","Thu Jul 21 07:43:52 GMT 2022","Thu Jul 21 07:44:23 GMT 2022","31404","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"passed","Thu Jul 21 07:40:02 GMT 2022","Thu Jul 21 07:40:02 GMT 2022","0","","Deploy Webhook Suite","","Deploy Webhook Suite","","[It] Deploy Webhook MutationRequired Empty annotations,but namespace is part of slice->auto netpol should enable injection",""
"broken","Thu Jul 21 07:40:02 GMT 2022","Thu Jul 21 07:40:02 GMT 2022","0","","Worker Controller Suite","","Worker Controller Suite","","[AfterSuite]",""
"passed","Thu Jul 21 07:40:02 GMT 2022","Thu Jul 21 07:40:02 GMT 2022","3","","Manifest Suite","","Manifest Suite","","[It] Manifest File With k8s deployment manifest Should parse file into k8s deployment in the slice",""
